NecropDateDt,NecropDate,DeadDateDt,DeadDate,Date1stHeardDt,Date1stHeard,AgeCarcass,BestDead,AnimalYear,Recorder,Herd,Animal_ID,Sex,Age,AgeEstMethod,GPS_CollarSerialNo_Date_FK,CollarSN,VHF_freq,Location,InvestReason,UTM_E,UTM_N,ElevDEM,CarcassCon,Cause_Mort,CausMortAcc,ConditionNotes,Evidence,Comments,CauseMortRevised,RevisionReason,PhotoTaken,Houndsmen,RumenIntact,TracksFound,ScatFound,DragMarks,Latrine,Femur,Tooth,Mandible,Skull,LionID,KillLocUsingGPSData,LionClusterID
30-Nov-23,20231130,14-Mar-23,20230314,14-Mar-23,20230314,,20230314,2022,L_Greene,Mt. Williamson,S635,Female,,,,733689,160.115,,,,,,,Snow,Certain,,timing and location,"GPS notification and mort signal, not investigated",,,,,,,,,,,,,,,N,
30-Nov-23,20231130,03-Mar-23,20230303,03-Mar-23,20230303,,20230303,2022,L_Greene,Mt. Williamson,S634,Male,,,,733683,159.745,flight location,,387317,4055352,,,Snow,Certain,not investigated,timing and location,"not investigated, flight location",,,,,,,,,,,,,,,N,
30-Nov-23,20231130,01-Apr-23,20230401,01-Apr-23,20230401,,20230401,2022,L_Greene,Sawmill Canyon,S514,Female,,,,706349,160.767,"not investigated, flight location",,373764,4083019,,,Snow,Certain,,timing and location,"not investigated, flight location",,,,,,,,,,,,,,,N,
30-Nov-23,20231130,29-Oct-22,20221029,29-Oct-22,20221029,,20221029,2022,L_Greene,Taboose Creek,S412,Female,,,,79522160.345,160.345,"under snow in May, not retrieved",,372504,4105814,,,Unknown,,,,"flight mort in Oct, under snow 5/23 and not retrieved, not investigated",,,,,,,,,,,,,,,N,
30-Nov-23,20231130,28-Oct-22,20221028,28-Oct-22,20221028,,20221028,2022,L_Greene,Mt. Langley,S480,Female,,,,699634,159.041,not investigated,,390934,4043325,,,Unknown,,,not investigated,"Not heard in later attempts, not found but heard on mort in Oct.",,,,,,,,,,,,,,,N,
24-Nov-23,20231124,20-Mar-23,20230320,20-Mar-23,20230320,240,20230320,2022,K_Anderson,Laurel Creek,S606,Female,6,Frequency List,,727157,160.200,NE George Bush Cmpgrnd in unburned oak and bush forest,Mort Signal,367691,4004393,,Consumed,Snow,Certain,hair pile and lower mandible all that was left,Based on dates and snow level,"GPS data indicated this animal was localized in this area for months in deep frequent snow. Hair pile and hair plucking evidence, but died during significant snow cover. Traveled far south of SNBS herds.",,,Y,N,,,,,,,,Y,,,N,
27-Oct-23,20231027,01-Jun-23,20230601,27-Oct-23,20231027,150,20230601,2023,L_Greene,Bubbs Creek,S628,Male,,,,733688,160.095,unknown,Mort Signal,,,,,Unknown,,only collar,only callar remains,"Leading Edge picked up, last heard alive in May 2023, heard on mort during capture and only collar found and retrieved.",,,N,N,,,,,,N,N,N,N,,N,
18-Oct-23,20231018,09-Nov-22,20221109,09-Nov-22,20221109,330,20221109,2022,S_Maple,Sawmill Canyon,M259,Unknown,1,Teeth,,,,in avalanche path,Opportunistic,376802,4094248,,Scavenged,Avalanche,Certain,"no horn sheaths. Estimated to be 1-2 yo, unknown sex",found in same avalanche path with S542 and S396,found in same avalanche path with S542 and S396 and lamb,,,Y,N,,,,,,N,N,N,N,,N,
18-Oct-23,20231018,09-Nov-22,20221109,09-Nov-22,20221109,330,20221109,2022,S_Maple,Sawmill Canyon,S396,Female,6,Frequency List,,83132160.114O,160.114,avalanche path near Taboose trail,Opportunistic,376802,4094248,,Scavenged,Avalanche,Certain,,found in same location as avi mort S542 with 2 other animals,found in same location as avi mort S542 and M259.,,,Y,N,,,,N,,N,N,N,N,,N,
18-Oct-23,20231018,31-Mar-23,20230331,31-Mar-23,20230331,200,20230331,2022,T_Calfee,Mt. Warren,S623,Male,0,Frequency List,,83132159.746,159.746,Cliffs above Burro Lk,Mort Signal,299197,4211379,,Scavenged,Starvation,Certain,"scavenged by birds and small carnivores, perfect articulated skeleton",Animal found w/lg pellet piles and evidence of eating hard and woody plant matter,"unsure of exact mort date, from flight",,,,,,,,,,,,,,,N,
11-Oct-23,20231011,01-Apr-23,20230401,01-Apr-23,20230401,,20230401,2022,L_Greene,Big Arroyo,S498,Male,6,Horn Rings,,731510,160.862,rock perch 1500ft above Kern River W side just S of hotsprings,Mort Signal,373536,4037963,,Scavenged,Starvation,,"a few bones, fragments and skull remaining, large pellet piles nearby. Not in avalanche path","large pellet piles nearby, not avalanche path, record breaking winter",marrow dried up,,,Y,,,,,,,N,N,N,N,,N,
10-Oct-23,20231010,09-Jan-23,20230109,27-May-23,20230527,,20230109,2022,L_Greene,Laurel Creek,S599,Male,3,Frequency List,,719209,160.475,found w/S604 N side of Laurel Creek 8400ft,Mort Signal,372071,4027917,,Scavenged,Avalanche,Certain,"presumed to have died w/604 bc it was found with her, GPS had stopped working 3/22","found w/604. Time of year, early winter and record breaking snowpack. Avi debris in area.","presumed to have died w/604 bc it was found with her, GPS had stopped working 3/22",,,Y,,,,,,,N,N,N,N,,N,
10-Oct-23,20231010,27-Feb-23,20230227,27-Feb-23,20230227,240,20230227,2022,L_Greene,Laurel Creek,S600,Male,1,Frequency List,,727153,159.955,,GPS Notification,371981,4027940,,Scavenged,Snow,Certain,only bone fragments found. GPS and VHF were 300ft apart,"timing and location and record breaking winter, could not tell avalanche from starvation",,,,N,,,,,,,N,N,N,N,,N,
10-Oct-23,20231010,09-Jan-23,20230109,09-Jan-23,20230109,270,20230109,2022,L_Greene,Laurel Creek,S604,Female,2,Frequency List,,711058,160.165,N side Laurel Crk 8400ft,GPS Notification,372071,4027917,,Scavenged,Avalanche,Certain,some bone fragments and skull,"early winter mortality w/another animal in record-breaking winter, avalanche debris nearby","in area w/avalnche debris. Died in storm cycle, near S599.",,,N,,,,,,,N,N,N,N,,N,
10-Oct-23,20231010,16-Feb-23,20230216,16-Feb-23,20230216,,20230216,2022,L_Greene,Laurel Creek,S603,Female,4,Frequency List,,711232,160.620,N side Laurel Crk above waterfall,GPS Notification,372411,4027834,,Scavenged,Snow,Certain,"only found collars, bone fragments",time of death during big winter,could not tell avalanche from starvation,,,N,,,,,,,N,N,N,N,,N,
15-Sep-23,20230915,01-Jan-23,20230101,,,255,20230101,2022,C_Massing,Mt. Warren,M258,Unknown,,Size of Remains,,,,Dunderberg,Opportunistic,300212,4216533,,Scavenged,Snow,Certain,"skeleton, intact","skeleton in cliffy, rocky area--based on photos it looks like it was washed or fell down to be pinned against a larger rock","Hunters found the skeleton, took photos and sent to Phil, with approximate location. We have not investigated yet, but location and description do not match any known morts. Hard to tell from photos, but most likely is adult ewe, or could be young ram. Needs investigating. But location/condition indicate a snow-related death from the winter of 22/23.",,,Y,N,,,,,,N,N,N,N,,N,
28-Aug-23,20230828,01-Apr-23,20230401,01-Apr-23,20230401,149,20230401,2022,S_Maple,Laurel Creek,S602,Male,3,Frequency List,,719219,159.805,Rattlesnake Cyn,Mort Signal,367654,4029079,,Intact,Snow,Certain,scattered carass. All marrow in bones dried up/gone,"died during huge winter, body intact. Carcass slid downhill on slabs llikely as snow melted.",GPS collar off when deployed so couldn't see when he died besides VHF flighton 4/1/23,,,Y,N,,,,,,N,Y,N,N,,N,
28-Aug-23,20230828,20-Mar-23,20230320,20-Mar-23,20230320,161,20230320,2022,D_Vankampen,Big Arroyo,S583,Female,7,Frequency List,,731500,159.885,"along Kern River trail, S of upper Funston Mdw",GPS Notification,373297,4034475,,Scavenged,Snow,Certain,"hair pile, small bone fragments, collars, scavenged by bear",timing and location. Did not look like an avalanche path,"Did not look like avalanche path, died during historic snowy winter",,,N,N,,,,,,N,N,N,N,,N,
28-Aug-23,20230828,09-Jan-23,20230109,09-Jan-23,20230109,231,20230109,2022,L_Greene,Laurel Creek,S605,Female,5,Frequency List,,727152,160.750,base of cliffs in big talus just N of Laurel Crk,GPS Notification,373125,4028072,,,Snow,Certain,only VHF collar found,"known deep snowpack, record breaking winter","Found at GPS location but could not find GPS collar, or remains. Big talus with large tree debris.",,,N,N,,,,,,N,N,N,N,,N,
27-Aug-23,20230827,30-Apr-23,20230430,,,120,20230430,2022,L_Greene,Big Arroyo,M256,Female,4,Horn Rings,,,,along Kern River Trail N of Chagoopa turn off,Opportunistic,373546,4035984,,Scavenged,Snow,Certain,"only horn, small bone fragments, and hair remaining","timing and location, presence of multple animals. Area was blanketed by deep snow at time of mortality","4+ years old. Found with remains of S497, presumed died at same timing. Probably avalanche but could be starvation",,,N,N,,,,,,N,N,N,N,,N,
27-Aug-23,20230827,02-Mar-23,20230302,01-Apr-23,20230401,178,20230302,2022,S_Maple,Big Arroyo,S499,Female,7,Frequency List,,92120159.428,159.428,NW Kern Hotsprings,Mort Signal,373842,4038473,,Scavenged,Avalanche,Probable,only found VHF collar and hair plucks/pieces,"died 3/2/23 in an avalanche path, likely scavenged once melted","Last GPS fix ~10m away from mort, so likely died that day. S637 died same day very close by. Scavenged by lion/bobcat--plucking.",,,Y,,,,,,,N,N,N,N,,N,
27-Aug-23,20230827,18-Feb-23,20230218,,,190,20230218,2022,L_Greene,Big Arroyo,M254,Male,6,Horn Rings,,,,"near Kern River Trail, N of Chagoopa Falls",Opportunistic,373726,4037209,,Scavenged,Snow,Certain,"skull and backbone and hair, scavenged by bear","Area known to be deep snow in winter, found near multiple animals, some avalanche debris nearby","Presumed to have died w/S582, nearby. Multiple animals in area, avalanche debris nearby but could have died of starvation--deep snow area",,,Y,N,,,,,,N,N,N,N,,N,
27-Aug-23,20230827,18-Feb-23,20230218,18-Feb-23,20230218,190,20230218,2022,L_Greene,Big Arroyo,S582,Female,5,Frequency List,,711236,160.510,"near Kern River trail, N of Chagoopa Falls",GPS Notification,373726,4037209,,Scavenged,Snow,Certain,"only collars, bobcat, coyote, bear scat present","area known to be in deep snow, found multiple animals, could have been avalanche or starvation","Some avalanche debris nearby but not definitive, could have been starvation. Found near multiple animals, including uncollared ram skull (M254 probably).",,,N,N,,,,,,N,N,N,N,,N,
27-Aug-23,20230827,02-Mar-23,20230302,01-Apr-23,20230401,178,20230302,2022,S_Maple,Big Arroyo,S637,Female,2,Frequency List,,733695,160.830,NW Kern Hotsprings,Mort Signal,374049,4038385,,Consumed,Avalanche,Probable,only found both collars and a couple small tufts of hair,"in avalanche area, died on same day as S499 nearby","Died some day as S499 in avalanche area, scavenged after",,,Y,,,,,,,N,N,N,N,,N,
27-Aug-23,20230827,30-Apr-23,20230430,,,180,20230430,2022,L_Greene,Big Arroyo,M255,Unknown,,,,,,"along Kern trail, N of Chagoopa turn off and N of S497 mort",Opportunistic,373538,4036138,,Scavenged,Snow,Certain,"only hair pile, probably scavenged by bear w/S497","found near S497 and other unc female remains, M256, Seemed in similar condition, likely similar timing of death","Unknown age, but believe older than lamb. Presumed to have died with 2/other nearby animals around the same time. Could have all been caught in lg avalanche event but not much evidence b/c terrain was just large talus. Found 1 adult tooth",,,N,N,,,,,,N,N,N,N,,N,
27-Aug-23,20230827,30-Apr-23,20230430,27-May-23,20230527,120,20230430,2022,L_Greene,Big Arroyo,S497,Female,7,Frequency List,,92120159.829,159.829,along Kern trail N of Chagoopa turn off,GPS Notification,373546,4035984,,Scavenged,Snow,Certain,"only horns, small bone fragments, hair pile remaining","timing and location, presence of multiple animals. Area blanketed in deep snow at time of mortality",Found with M256,,,Y,N,,,,,,N,N,N,N,,N,
26-Aug-23,20230826,01-Jan-23,20230101,,,,20230101,2022,L_Greene,Big Arroyo,M257,Male,8,Horn Rings,,,,above Big Arroyo btwn Chagoopa bowl and morraine lk,Opportunistic,371450,4034092,,Scavenged,Snow,Probable,skull and backbone,"based on timing and location and severity of winter, we know this area was blanketed in snow","Hard to tell how old mort is, but there is hair on skull so could be from past winter. Very likely, based on all of the other morts that were found in the area.",,,Y,N,,,,,,N,N,N,N,,N,
26-Aug-23,20230826,11-May-23,20230511,11-May-23,20230511,,20230511,2023,C_Massing,Bubbs Creek,S629,Female,5,Frequency List,,00202,160.640,"cliffs, not accessible",GPS Notification,363425,4072045,,,Unknown,,not investigated,not investigated,Attempted twice to investigate. Carcass in cliffy terrain and can't be accessed.,,,N,N,,,,,,N,N,N,N,,N,
26-Aug-23,20230826,10-Feb-23,20230210,10-Feb-23,20230210,197,20230210,2022,L_Greene,Big Arroyo,S636,Female,,,,73513,159.235,near Big Arroyo btwn Chagoopa Bowl and Morraine Lk,Mort Signal,371094,4034050,,Scavenged,Snow,Probable,only found collars,"time of death and severity of winter, we know area was blanketed in deep snow","Area blanketed in deep snow, only found collars",,,N,N,,,,,,N,N,N,N,,N,
25-Aug-23,20230825,01-Nov-22,20221101,22-Nov-22,20221122,275,20221101,2022,S_Rankins,Bubbs Creek,S627,Male,8,Frequency List,,733679,159.315,"wet meadow, S of Mt. Gardiner",GPS Notification,369613,4073624,,Scavenged,Capture,Probable,"head, backbone, pelvis, 1 front leg and 1 back leg, hair pile","animal moved about 1km after capture before stopping moving completely, no other clear cause of death indicated from carcass","Some GPS movement data is missing, but animal moved about 1km after capture and then never moved from that area again. He may not have died until about Nov. 22, but he was in the same location beginning Oct. 30. With some missing data it is hard to know for sure, but he appears to have died or not been mobile immediately post capture. A mask was found near his mort site, so the initial movement may have been false, since his dead location was closer to his capture location than the point 1km away. He may not have moved from his release location, potentially could have been injured upon release (or capture myoptic).",,,Y,N,,,,,,N,N,N,N,,N,
13-Aug-23,20230813,12-Aug-23,20230812,12-Aug-23,20230812,1,20230812,2023,L_Siemion,Mt. Langley,S612,Male,5,Frequency List,,706378,159.026,NE face of Cirque Pk,Mort Signal,389440,4037881,,Intact,Rock Fall,Certain,"Mostly intact, ravens had punctured into back L hindquarter. Compound francture L lower leg, severely broken jaw and teeth","injuries, see condition",broken leg and jaw,,,Y,N,,,,,,N,N,N,N,,,
08-Aug-23,20230808,19-Mar-23,20230319,19-Mar-23,20230319,142,20230319,2022,S_Maple,Mt. Williamson,S588,Female,4,Frequency List,,727151,160.190,Tunnabora Ridge,GPS Notification,386567,4053868,,Consumed,Snow,Probable,only found VHF collar that had strap chewed,"only found VHF collar, had chew marks but must have beeen scavenged because of dead date","someone may need to go back for her GPS collar, may be w/the carcass, cliffy. Likely winter condition related based on timing",,,Y,,,,,,,N,N,N,N,,N,
07-Aug-23,20230807,30-Oct-22,20221030,30-Oct-22,20221030,290,20221030,2022,L_Greene,Mt. Williamson,S561,Female,7,Frequency List,,711758,160.160,under lg boulder at the bottom of steep gully,Mort Signal,384168,4055291,,Scavenged,Unknown,,"only collars, eartag, few bones fragments, horns",could have been early avalanche or rockfall,"GPS damaged and below in talus. Unclear if collars were transported during or after mortality event. Could have been an early avalanche or rockfall, not enough evidence to know.",,,Y,N,,,,,,N,N,N,N,,,
02-Aug-23,20230802,01-Mar-23,20230301,,,153,20230301,2022,S_Rankins,Taboose Creek,M252,Male,2,Teeth,,,,base of cliff below Birch Lk trail,Opportunistic,374140,4104813,,Scavenged,Snow,Probable,"rib cage, back bone, both back lets, and head remained","probably starved, but marrow too dry to know","bone marrow dry. Had 2 adult teeth on 1 side and 3 on the other, indicating died toward end of winter 2023 (consistent with condition)",,,Y,N,,,,,,N,N,N,N,,N,
31-Jul-23,20230731,01-Apr-23,20230401,,,95,20230401,2022,S_Maple,Sawmill Canyon,M253,Unknown,,Size of Remains,,,,Pass to S ridge of Mt. Perkins,Opportunistic,377262,4086231,,Consumed,Snow,Probable,"lion, coyotes scavenged: spine w/clipped ribs, matted hair, hair plucks, lower jaw, lots of sheep scat, coyote scat, lion scat, rumen","likely starvation due to winter conditions, lots of sheep scat in location","Liz saw hairpile at this location during the winter (5/11). Date of death unknown, but appears to have died during the winter, likley due to winter conditions. Starvation is likely since there are a lot of sheep pellets here. Carcass was scavenged by lion and coyotes since the first date of discovery in May. Might be a 3yo based on size of remains. Collected hair and scat.",,,Y,,,,Y,,,N,N,N,N,,N,
28-Jul-23,20230728,21-Dec-22,20221221,21-Dec-22,20221221,219,20221221,2022,S_Rankins,Mt. Gibbs,S615,Male,5,Frequency List,,731517,159.490,Mono Pass trail,GPS Notification,305822,4192472,,Intact,Avalanche,Certain,Buried in snow/avalanche debris. Coated in ice,ice coated and buried in avalanche debris,did not dig femur out,,,Y,,,,,,,N,N,N,N,,N,
